Abbey
B�ibhinn
B�irbre
B�l
B�thea
Brangwen
Branwen
Breanna
Breena
Brenda
Brenna
Briana
Brianna
Briant
Bridey
Bridget
Bridie
Brighid
Brigid
Brigit
Briona
Brittany
Bronagh
Bronwen
Brook
Brooke
Br�de
Brunhild
Bryana
Bryluen
Brynn
Bryony
Burien
Byota
Cacht
Cadi
Cailin
Caillech Domnaill
Caillech Finnen
Cainnech
Cairist�ona
Cait
Caiti
Caitil�n
Caitin
Caitlin
Caitlyn
Caitriona
Caitr�n
Caitr�ona
Caja
Camilla
Camy
Candace
Candice
Candy
Caoimhe
Ca�ntigern
Ca�rech
Cara
Carenza
Cari
Carie
Carina
Caris
Carissa
Carla
Carly
Carmel
Carmen
Carol
Caroline
Carolyn
Caron
Carrie
Caryl
Carys
Casey
Cassandra
Cassie
Castanea
Catan
Cate
Cath
Catherine
Cati
Catrin
Catriona
Ceara
Cecelia
Cecilia
Cecily
Ceinwen
Ceinwin
Ceire
Celandine
Celeste
Celestine
Celestria
Celia
Cellach
Ceri
Cerys
Chantal
Chantelle
Charity
Charlene
Charlotte
Charmaine
Chelsea
Cherry
Cheryl
Chesten
Chloe
Chlo�
Ch�rie
Christa
Christiana
Christina
Christine
Christy
Chrodoara
Ciannait
Ciar
Ciara
Cicely
Cindy
Cingit
Cissy
Claire
Clara
Clare
Clarice
Clarissa
Clarisse
Claudia
Clemencia
Cliodhna
Cliona
Clodagh
Clothra
Cnes
Cobhlaith
Coblaith
Cochrann
Cocrich
Colan
Colette
Colleen
Columba
Conandil
Concessa
Conchend
Conchenn
Condal
Congan
Connie
Constance
Conwenna
Co�mell
C�emfhind
C�it
Cora
Coral
Cordelia
Corey
Cori
Corinna
Corrine
Corrinna
Corry
Courtney
Craigie
Crestina
Crewenna
Cristiane
Cristina
Cristiona
Crist�n
Crist�ona
Croisella
Cr�eb
Cr�n�c
Cryda
Crystal
Cuach
Cumman
Custancia
Custelot
Cybil
Cynthia
Dailfind
Dairine
Daisy
Damhnait
Dana
Daniella
Danielle
Daphne
Dar C�rthaind
Darleen
Davina
Davinia
Dawn
Deanna
Dearbh�il
Dearbhorgaill
Debbie
Deborah
Debra
Dechtire
Dedre
Dee
Deidra
Deirdre
Deirdriu
Del
Delen
Delia
Della
Delwen
Delwin
Delwyn
Delyth
Demelza
Denise
Deonaid
Der Bforgaill
Der Draigen
Derb�il
Dercco
Derdre
Derg
Derowen
Derry
Dervil
Dervla
Derwa
Deryn
Desdemona
Desiree
Desir�e
Devnet
Devyn
Diana
Dianaim
Diane
Dido
Dierdre
Dionise
Dionisia
Doireand
Doireann
Doirend
Dolores
Dominique
Donna
D�insech
D�nlaith
Dora
Dorcas
Doreen
Doris
Dorothy
Dorren
Dot
Dottie
Dron
Drusilla
Duana
Dubchoblaig
Dubh
Dubh Essa
Dubh Lacha
Dubh Lemna
Dubh Themrach
Dubhchobhlaigh
Dubhgilla
Dubh�c
Dylis
Dyllis
Dymphna
Dympna
Dywana
Eabha
Eachraidh
Eadain
Ealusaid
Ebrel
Eby
Echrad
Edana
Edane
Ede
Edelina
Edida
Edith
Ediva
Edna
Edwina
Effie
Egidia
Eibhil�n
Eifiona
Eilean�ra
Eileen
Eile�n�ir
Eilgri
Eilidh
Eilinora
Eilise
Eilish
Eil�s
Eiluned
Eily
Eimear
Eim�le
Eira
Eiralys
Eirawyn
Eirene
Eirian
Eiriol
Eirlys
Eirwen
Eisitr
Eithna
Eithne
Ela
Elaine
Eleanor
Eleanore
Elec
Elen
Elena
Eleri
Elestren
Elige
Elin
Elinora
Elizabeth
Ella
Ellbr�g
Ellen
Ellie
Elmira
Eloise
Elowen
Elsa
Elsie
Elspeth
Elspie
Eluned
Emer
Emily
Emma
Emmeline
Ena
Endelienta
Endelyon
Enfys
Enid
Enit
Enya
Erica
Erin
Eriu
Erlina
Ermengarda
Ermenilda
Ermin
Erneburga
Ertha
Esa
Eseld
Eselt
Esilia
Esm�
Essyllt
Estelle
Esther
Estrild
Estrilda
Esyld
Eta�n
Ethel
Ethna
Ethne
Etromma
Eugenia
Euginia
Eunice
Euphemia
Eva
Evaleen
Evangeline
Eve
Eveleen
Evelot
Evelyn
Evie
Ewa
Ewe
Failend
Faimdid
Fainche
Faith
Fanny
Fa�lenn
Fay
Fedelm
Feidelm
Felice
Felicia
Felicity
Fenalla
Fenella
Fern
Ffion
Fiachna
Fianait
Fiathnait
Fidelma
Fina
Finbil
Find
Findch�em
Find�tand
Findscuap
Finnecht
Finol
Finola
Fiona
Fionna
Fionnabhair
Fionnaghal
Fionnghuala
Fionnuala
Fionnula
Flandrina
Flann
Fleur
Flora
Florence
Florie
F�na
F�ne
Forbflaith
Forsy
Forveleth
Fran
Frances
Francesca
Freda
Frethesantha
Freya
Fuamnach
Gabriella
Gabrielle
Gaenor
Gail
Galiana
Garb
Gaye
Gaynor
Gelg�is
Gemina
Gemma
Gencelina
Georgette
Georgia
Georgiana
Georgina
Georgine
Geraldine
Geri
Gertrude
Gilda
Gill
Gillain
Gillian
Gina
Ginger
Gladys
Glanna
Glenda
Glenna
Glenys
Gloria
Glynis
Gnathnad
Gobnait
Goda
Godehyda
Godelda
Godeleva
Godit
Godiva
Godrun
Golda
Gormfhlaith
Gormlaith
Gorm�n
Grace
Grainne
Grania
Grecia
Grisilda
Grisilde
Gr�inne
Guenevere
Guida
Guinevere
Gundreda
Gunnilda
Gunnora
Gwen
Gwenda
Gwendolen
Gwendolyn
Gweneth
Gwenevere
Gwenhwyfar
Gweniver
Gwenllian
Gwenlliana
Gwennol
Gwladys
Gwyneth
Hadewisa
Hafwen
Hagenild
Hannah
Harriet
Hawisia
Hayley
Hazel
Heather
Hedra
Hedy
Heidi
Helen
Helena
Helewisa
Henrietta
Heulwen
Hilary
Hilda
Hilde
Hodierna
Holdyva
Holly
Honor
Honora
Honorah
Hope
Humberh
Hyldeihera
Hywela
Ibel
Ida
Idelle
Idonea
Iestin
Ilene
Imag
Imayna
Imogen
Ina
Inderb
India
Indiu
Ind�cht
Inghean Dubh
Ingrid
Iola
Iona
Iosbail
Iosobal
Irene
Iris
Irma
Isabel
Isabella
Iseabel
Iseult
Ishbel
Isib�a
Isib�l
Isla
Isleen
Islene
Ismay
Ismenia
Isobel
Isold
Isolde
Isotte
Ita
Italia
Iuliana
Ivana
Ivetta
Ivy
Jackie
Jacqueline
Jade
Jaime
Jan
Jane
Janet
Janey
Janice
Janine
Jasmine
Jean
Jeanette
Jeanie
Jemima
Jemma
Jen
Jenifer
Jenifry
Jenna
Jennifer
Jenny
Jessamine
Jessica
Jessie
Jestina
Jill
Jilleen
Jillian
Joan
Joanna
Joanne
Jocelyn
Jocosa
Jodie
Joia
Jonet
Jordan
Josephine
Josie
Jowanet
Joy
Joyce
Judith
Judy
Julia
Juliana
Juliane
Julie
Juliet
June
Justina
Justine
Kara
Karen
Karla
Kate
Katelyn
Katharine
Katherine
Kathie
Kathleen
Kathryn
Katie
Katrina
Katrine
Katy
Kay
Kayleigh
Kayna
Keeley
Keelie
Keelin
Keely
Keira
Kelly
Kelsey
Kelynen
Kenna
Kensa
Kerensa
Kerenza
Keresyk
Keriann
Kerra
Kerry
Keva
Kew
Kiera
Kim
Kimberley
Kimberly
Kirsten
Kirstie
Kirsty
Kitty
Kyla
Kylie
Labhaoise
Lacey
Ladoca
Lana
Lann
Lara
Lark
Lasair
Lasair�ona
Lassar
Lassarina
Lassi
Lathir
Laura
Laurel
Lauren
Laurencia
Lauretta
Lavena
Lavinia
Leah
Lean
Leanne
Lebarcham
Lecelina
Lecia
Lee
Leigh
Leila
Lelia
Lena
Leofrun
Leona
Leonie
Leontine
Lerben
Lerthan
Lesley
Lethann
Leticia
Letitia
Lettice
Leveva
Lewelyth
Lexie
Liadan
Liana
Lil
Lila
Lilian
Lillian
Lilly
Lily
Lina
Linda
Lindsay
Lindsey
Linsay
Linsey
Lisa
Liusaidh
Livia
Livina
Liz
Liza
Lizzie
Llewelydd
Llinos
Llio
Llion
Lois
Lona
L� Ban
L�gach
Lora
Loretta
Lori
Lorna
Lorraine
Louisa
Louise
Loveday
Lowenek
Lowenna
Lowri
Lowry
Lucia
Lucille
Lucinda
Lucretia
Lucy
Luiseach
Lu�seach
Lydia
Lynette
Lyneya
Lynn
Lynne
Lynwen
Mab
Mabel
Mabillia
Mabli
Mabyn
Macha
Maddy
Madeleine
Madeline
Maelona
Maeve
Magdalen
Maggie
Mai
Maighread
Maille
Maillt
Mair
Mairead
Mairghread
Mairi
Mairin
Mairona
Mairsile
Mairwen
Maisie
Majella
Mali
Malvina
Manacca
Mandy
Maol Mh�
Maol Mhuire
Marared
Marcella
Marcia
Mared
Margaid
Margaret
Marged
Margery
Margo
Margot
Marguerite
Maria
Marian
Marianne
Marie
Marilyn
Marina
Marion
Mariot
Mariota
Marjorie
Marlene
Marsail
Marsaili
Marsha
Marsilla
Marsona
Martha
Martina
Martine
Mary
Marya
Masota
Matilda
Maud
Maude
Maura
Maureen
Maurya
Mave
Mavelle
Mavis
Maxine
May
Meadhbh
Meagan
Meaveen
Medb
Meg
Mega
Megan
Meghan
Meira
Meiriona
Meirionwen
Meironwen
Melanie
Meld
Meleri
Melinda
Melior
Meliora
Melisant
Melissa
Mellear
Melloney
Mellyn
Melodia
Melody
Melva
Melvina
Melwyn
Melyar
Melyonen
Melyor
Meraud
Mercedes
Mercy
Meredith
Mererid
Meriel
Merouda
Metheven
Mia
Michaela
Michelle
Mildred
Millicent
Millie
Mincloth
Minerva
Minnie
Mirabel
Miranda
Miriam
Modesty
Moira
Moirin
Moll
Molly
Mona
Mongfhind
Monica
M�el Etich
M�el Fabaill
M�el Mide
M�el Muire
M�en
M�ire
M�irghr�ad
M�irin
M�r
M�r Mhumhan
M�r Muman
M�reen
Mor
Mora
Morag
Moreen
Morenwyn
Morgan
Morgelyn
Morna
Morven
Morveren
Morvoren
Morwen
Morwenna
Morwennol
Morwetha
Muadhnait
Mugain
Muireann
Muirecht
Muirenn
Muirgel
Muirgheal
Muiriath
Muirin
Muirne
Muir�ol
Muriel
Myfanawy
Myfanwy
Myfi
Myfina
Myrette
Myrna
Myrtle
Nadia
Nadine
Nainseadh
Nan
Nancy
Naomi
Narbflaith
Natalie
Natasha
Neala
Neassa
Neile
Nell
Nelly
Neraud
Nerys
Nessa
Nest
Nesta
Newlyn
Newlyna
Nia
Niamh
Nichola
Nicky
Nicola
Nicole
Nina
nne
Nola
Nolicia
Nonna
No�lle
N�m
N�mdaille
N�ra
Nora
Norah
Noreen
Norma
Nuala
Octavia
Odharnait
Oilbhe
Oilen
Olga
Olive
Olivia
Olwen
Olympia
Ona
On�ra
Onora
Oona
Oonagh
�adaoin
�chae
�ebfhinn
�edammair
�ile
�ine
�na
�rennach
�riu
�rnat
�te
Orabilia
Oriel
Orla
Orlaith
Orlaithe
Orna
Ornait
Orn�ra
Orphilia
Osanna
Owena
Padraigin
Paige
Paili
Pal
Pam
Pamela
Pat
Patricia
Patsy
Paula
Paulette
Pauline
Pavia
Pearl
Peg
Peggy
Peig
Peigi
Peigin
Penelope
Penny
Petra
Petronella
Philippa
Phillipa
Philomena
Phoebe
Phyllis
Polly
Poppy
Portia
Priscilla
Prudence
Rachael
Rachel
Ragenild
Raghnailt
Ragnailt
Ramona
Rebecca
Rebekah
Regan
Regina
Renata
Ren�e
Rhiain
Rhian
Rhiannon
Rhianwen
Rhoda
Rhona
Rhonda
Rhonwen
Rhosyn
Riana
Richemaye
Richende
Riona
Rionach
Rita
Roach
Roberta
Robyn
Rochelle
Roesia
Rohesia
Roisin
Ronwen
R�is
R�ise
R�nnait
R�oghnach
Rosalie
Rosalind
Rosaline
Rosamond
Rosamund
Rosanne
Rose
Rosemary
Rosen
Rosie
Rowena
Roxana
Roxanne
Rozen
Rozenwyn
Ruby
Runild
Ruth
Sabelina
Sabina
Sabine
Sabrina
Sadb
Sadhbba
Sadhbh
Sadie
Saeva
Sal
Sally
Samantha
Samthann
Sandra
Sandy
Saoirse
Sapphira
Sara
Sarah
Saraid
Sarnat
Sayna
Scathach
Sciath
Scientia
Sc�thdercc
Seana
Sebdann
Selblaith
Selina
Senara
Senga
Seonaid
Seosaimhth�n
Seren
Serena
Sevi
Shannon
Sharlene
Sharon
Shauna
Sheelagh
Sheelah
Sheena
Sheila
Shelagh
Shelley
Sheri
Sheryl
Shibahn
Shiela
Shirley
Shona
Shonda
Sian
Siani
Siban
Sib�n
Sibyl
Sile
Simone
Sine
Sinead
Sinech
Sin�ad
Siobaigh
Siobhan
Siobhanin
Siofra
Siona
Sioned
Si�san
Sissy
Sitheag
Sithmaith
Siwan
Skye
Sla�ne
Sodelb
Sog�es
Sonia
S�arlait
S�erlaith
S�le
S�n
S�sanna
S�tach
Sophia
Sophie
Sophronia
Sorcha
Sowena
Stacey
Stella
Stephanie
Steren
Storm
Stormy
Suaibsech
Sue
Sunny
Susan
Susanna
Susannah
Suzanne
Swannoc
Sybil
Sylvia
Sywe
Tabitha
Taffia
Taffine
Tailefhlaith
Taileflaith
Tailltiu
Tallulah
Talwyn
Tamara
Tammy
Tamsin
Tamsyn
Tania
Tansy
Tara
Taylor
Tecca
Tegen
Tegwen
Temair
Terri
Tess
Tessa
Tessie
Thelma
Theodora
Theodosia
Theophania
Theresa
Thomasine
Thora
Tiffany
Tilly
Tina
Tlachtga
Toir�asa
Toni
Tonia
T�ethen
T�iti
T�mnat
Tracey
Tracy
Treasa
Tregereth
Treise
Tressa
Trevenna
Triona
Trudy
Tryfena
Tuathflaith
Uaithne
Uallach
Uasal
Uathach
Ula
Una
Ursula
Valerie
Vanessa
Vanora
Velda
Venetia
Venus
Vera
Verity
Veronica
Vesper
Vevina
Vicky
Victoria
Vida
Viola
Violet
Virginia
Vivian
Viviane
Vivianne
Viviene
Vivienne
Vorva
Wanda
Wenda
Wendy
Weneppa
Wenn
Wenna
Willelma
Winifred
Winnifred
Winona
Wyburh
Wylmet
Wynne
Yasmin
Yerilda
Ygerna
Yolanda
Ysbail
Ysenda
Yseult
Yvette
Yvonne
Zaira
Zara
Zelda
Zethar
Zo�
